user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet
MyNewsNE,Assam,MyNewsNE a dedicated multi-lingual media house from North Eastern India.,24-05-2020 10:18,64,11,110,False,18-08-2020 12:55,"Australia to Manufacture Covid-19 Vaccine and give it to the Citizens for free of cost: AFP quotes Prime Minister
#CovidVaccine",['CovidVaccine'],Twitter Web App,False
Shubham Gupta,,I will tell about all experiences of my life from my videos hope that you all like the videos 🙂,14-08-2020 16:42,1,17,0,False,18-08-2020 12:55,#CoronavirusVaccine #CoronaVaccine #CovidVaccine Australia is doing very good https://t.co/kBT7l6pArY,"['CoronavirusVaccine', 'CoronaVaccine', 'CovidVaccine']",Twitter for Android,False
Journal of Infectiology,,Journal of Infectiology (ISSN 2689-9981) is accepting submissions for an upcoming Volume 3 Issue 2. For further queries contact editor@infectiologyjournal.com.,14-12-2017 07:07,143,566,8,False,18-08-2020 12:46,"Deaths due to COVID-19 in Affected Countries
Read More: https://t.co/V8Y3Stu0UW
@r_piryani @shitalbhandary… https://t.co/6jpMxX2KtI",,Twitter Web App,False
Zane,,Fresher than you.,18-09-2019 11:01,29,25,620,False,18-08-2020 12:45,@Team_Subhashree @subhashreesotwe @iamrajchoco Stay safe @subhashreesotwe di &amp; @iamrajchoco da ❤️❤️… https://t.co/ayhoaQm0Ls,,Twitter for Android,False
Ann-Maree O’Connor,"Adelaide, South Australia","Retired university administrator. Melburnian by birth, now living in Adelaide. Look back fondly to the Whitlam years; one of Keating’s true believers.",24-01-2013 14:53,83,497,10737,False,18-08-2020 12:45,@michellegrattan @ConversationEDU This is what passes for leadership in our country: a voucher for something that w… https://t.co/OUUb1PeYIj,,Twitter Web App,False
Raunak Scherbatsky DankWorth,,"Neuro surgeon + Diagnostician.👨‍⚕️
a good physician treats the disease, a great physician treats the patient who has the disease.⚕️",03-08-2020 13:39,3,27,918,False,18-08-2020 12:44,"The Multi-system Inflammatory Syndrome-Children (MIS-C) w/ #COVID19 (atypical Kawasaki disease) #COVID19India 

The… https://t.co/98wj2CEkez","['COVID19', 'COVID19India']",Twitter for Android,False
Rajesh Tadepalli,"Hyderabad, India","Growth Initiatives @tech_mahindra | AIMer | Brand Advocate @MahindraRise | 
Tweets are personal & do not necessarily reflect the views of @tech_mahindra 🤘",07-05-2013 03:57,918,2561,31837,False,18-08-2020 12:34,@PrivilRodrigues @yatish57 @deepkaranahuja @shristi522 @Amrita33392520 @RashmiSriniva14 @AkashRK_88 @SJanaQA… https://t.co/VPLa11fwfr,,Twitter for Android,False
AKisASocialisolationist wash yer damn hands,The Great Pacific Northwest,"Iconoclast, cat person, soccer fan, textile & art lover, ❤️the great outdoors, travel, music, books, lifelong learning. Fighting for the planet & human rights.",07-02-2015 07:24,2321,3236,264351,False,18-08-2020 12:30,"@MSNBC Well, let’s qualify that: would anyone of any party get a vaccine rushed out and minimally tested coming from Russia? #CovidVaccine",['CovidVaccine'],Twitter for iPhone,False
Dr. Joseph Santoro,"Washington, DC 20009","Neuro PhD, #Innovator, #Technologist, #Startup Angel, Fmr White House/OFA Honcho | #Politics #Data #Adventure | StartingBloc & Fulbright | @DMVstartup @Forbes",17-01-2009 21:10,19091,20986,128119,False,18-08-2020 12:15,"Most countries, without the ability to make #Vaccines locally, will be forced to rely on others like the US, China,… https://t.co/QUCozLB4Ru",['Vaccines'],Hootsuite Inc.,False
VUMC OAP,"Nashville, TN","Office of Advanced Practice, Vanderbilt University Medical Center
https://t.co/VSh2N6rqLh",16-03-2017 20:22,282,96,788,False,18-08-2020 11:57,"#DNA  zooms up charts in 1st week; hear #vaccines episode: https://t.co/oDrayhi7zN . #pandemic , #COVID19 , #CovidVaccine","['DNA', 'vaccines', 'pandemic', 'COVID19', 'CovidVaccine']",Twitter Web App,False
